GeneratedUTC,2026-02-28T04:38:39.730289+00:00
PW,2555352412215525135215115421455515521441111115235515115425551155551113532115151154115521111251111124253155415311413555125111115415253515355244523345232432235352433245414234143322224333454322225134242342422545133434324455125251133114432354244254153151415151124411251155154523521434311512541511545341141111115515515425154313121215423135415135211155115155535151151442121515113111315551115515115551415451
RIGL,1534115353144451145231431451215111155213212435333251511153511253555154535521151135232414552355122154432233112225112354125452221522451455555555555353221555225151551343315432314131422455445241511552453222541251344455535125515121151411314234154153151121515451421533111552113451343551515315135531513241142111112131255355451134555555251325222323154144151314425325243323534142431251255132515155155511123225
RWE.DE,4254341554114344124334344424234553433344534425333332334234324242315123135243432424543332232442433434435334345342324433354532322322343344133222344323423134442343425223434233244432244454342343443252235423333332333342342335344524114443334433125445342343244243544333431431143244442341344352421323553343332112134321335342342223425153514432323342233233443323223224534531232422343523334333443444413423531124
SAP.DE,2542142542431453431551314522212313352515133334332322332442234342424322134323142424124152452344313444244333242325521421341441423433322332351325443124433212325343224452522353253412241221343442432442333343433332235354435113441514111352231534444351421125152142333224233532444233433335334454233444242433242334232335455323244344243233524331244434524332442453323324413425233454343212424342333233534343451124
SHECY,5235244422545451514451122541454444245442333344242155142235243453451211423335132432132142323234513214534344223434353243242232142434233344343444253222111544243233214145235525414231244332224441524232451553313454235552423225415431133314142234234242233532313522441251353434114142423343523232243224344322221142242243522444234232222445333341241224241423432422441532435224254341411333235432353254352521152552
SSYS,1322113413132451125142521551154142515553222225242312444425542443351231113243131321112451251253512215452213235254334341244311145225515241151523441331521254232231232345253533522552133533352222522142443332534253234454511225425141143124224135255234141142223121132442121545521222521535511411551311341221141542551522431544442115152155153115311215354331312441154553144245355351114213225153525252241311142144
TSLA,2145133323144451132513213551332345431512211324351555244134533443521424411251151551345152245242512415215345152451455553325442122445222422345545352122551343525244524135122211534144135551132132534141525555532152153555513143315111155213155535115155131511511111243355111215145131221251525331351111255121555255355425523152255514155555131221552323343412241511235244515332344551552532215142545152451411151534
TSM,2145352223254454125124425331352354314454324444451321254542442443522422413252231422444442242251512515435532225525344325445442133445221423243353141242244522153523242145225445323251445443544242515233333554341255442455513142515131144321135353244153141551315212322412341455145351245525531411555222235431245241224455422124244241213525241241524241531452444455211535325322445351431432425132435253453521151243
UN0.DE,2251252334433322513521345552115212532454454121333311455344124535344515433333132332324221242431144313142324433315224315432441224224334243353533315231233333315322333341354224323341232414333243342254323332334232415232323441344515115122242132134352232534113242442434154433233123333341333355151325453223242232234322225333325143312141235331124452334321155131212252155543454315322351223243334322515351551125
UNIT,1121154235244352141554321253314155253514232324231245553412454445342113512545151522115552324252112425412413115415311151255551125525113221345112121132234555255154454123444424534232214243153133513122154445411443345254415255415111135541325324155144142212431555221542542244125121431255553232324531241541122355122523422255325511254352551352222522245325122424115424514311525323553242225132545151135512555145
VLVLY,3324234422243332454245443452243244343443333343342223542355333445451432233444252232334442451442322313443315114323243243324321342315235243352455332223142555213222444214325325432232424334421332332234242454242252224452425244525111143123244212445131154525214542415454443444314513442543542135433233343231323232334544442244223231131524223234533225232332332533222525324443444132221443335234444443353312144243
VONN.SW,3443243443341255223423242353223443434235333434423532333423334433244223334432222343233452322232233344333432243332233333334323233334424433334334233331414223433543444243334434342324224343334323333233334333434444444142434445251113322334443343434212351423433332332334534322433523353334432232444244333333343443454434243343323423333343322333242453333332543222353341434433344232133333234323333434342113431232
VTRS,1134333433145543535342333452312524433232434434355234354442433343551132222533153434324323444444413232434543142235431121334133433224333325554551344112243453154132334234522524343142425452232353523142451251542254444454435224515131142322314132544122343434111444444343322342124424432333124133123422423521322441422324241344434414242534231435322423235332431433242523413434254321222434234342435232153212224254
XOM,5332513522153452551454434353425534511542343344325122344322524432233242442445433232423244334223422334422214444222453334441313444334444333432422312324434433122223435244422431142435345453244342332222342344434133133342525433515121133433443334345331545231443242434341443235314424242243435324343423333322312323223133332234424234323343523223323433331334313444545223424344342153221342254421334423444223234235
XPER,5555144425115451514221231432344323323521523344241413244451552442451111213331451252243441442245514413554135351535332252234531224135213531541452321111331432443221234133532425333151334451352322432143132354523122243455533324315111143214244335144153121431512312331332153254324342242433422111524421443331235544451532152534554143213155241234422422554443132512143525225342524551212243445232555252244111153255
BLNK,1335222515131451123121412521415151515155111311151541111115531541421142112245151151211534151114511115515152122555424552553121155455221533555121241141111555552221455155141555125141215551554123552141511153554144211554513411514131145232125213255115125551445211124154221422124511411133512114555112553511251121533414441542225111151515251115451235344351513554115515113151525531311431125142325151111111151155
ENI.MI,4543434433324334344324443434224245353124443244432332233234334343223223333443333333334454334332314434324224344323243333431322333333334333343324432343444433333323344333432432123434344353432443334432233423454424233334534444525121112432444334445334245421322444233333334333342343332232243424333343544332412333243334333312443234522424243333224323434413343144344341233243444431423213243344232443243353212434
F,1345142234453242422242522351232322535442333423431324453423422434451241224434352242421522544344421213535245324324323252234423424345224333443344441422242424321142444235534413443242245442351432323133343354325244243354425215515113152521335325345221453512524442444443333125223415341544444232351323343441313323441222331454124233253255422415243523342434432431414513332444444142232442325443435351354411232231
GLE.PA,2252442555121151224554245253322344224223425334344534244342525334553244132453515333514433433214453235213343242422443152554425424443113424234243444341544334424343142153524422532524141524412452342422513344434244531345445355225555152112312235432354533213551433453422534255155341434443533533553224251343433324233443545421341221342434124224235533423333443333443452321452412434434324253234334243433343333343
GNRC,1245243155352451544215412454344455511552323434411221451425552435251541115444141141132451252455523542143425231424224244244411232125313332543432342551253432553222444145543554544241224342352232534123423453551442433252514135415121143311225234345133154411313333121315153332125212421443344224444323432321231431232133223454323113154445453334232332151351425415354515523344323341231442245232545332452232133153
GS,1454142443134451124234341342252243224552223434432231544443542444532432215443234334234542242231513224422234323334434244532532333435232313353324252234243523334242432244354545444252343344243322534122444553532254333354525244415221153411145344345143121511523231124433223443224342343454544132443332354541232342233232433345322423254155232335143313343453433423223423325334444142241442335332343442454511245244
LAZRQ,2153541514215141111525115315154115354151515111511111542115511551113511111315112514415521155113511511555131115121525552352541113114431111153531211141511552155531115155122535113141115241312144412111515255551134152452145111115124211115131515555154112541415111515152453315154211521111511115555215551111511111351411251511111121552155451115541214332141514515122515153115554151121351355123154154151511125145
LUV,1522131454214253555152232242342225433533333325421444554353443255451331225145351342213411454235421323434144125243432343144142322525324252452322431421131444314242544234545423443141115354222254522133543333542455554355513141415131141322233445445525122412434341442433213434222214431532242431442323344442322232225534342443232434254355131455414325143242322552432513533433232233435432535432425333353511135115
MA,3453142442224123425253232422223122335422333434433234532241432434353422224433334233123333445124322233444343331331543242332332433324343334433524242422343443234341343242354225421341334243332433423224342343343353443344524244515221133414434334344231222413543432234333332342425335343433543143232322343441332344244223343443233332344253341433223334343443442433433332433244343353233442432333334343343413354442
NVAX,1544435325154551212151451255511552155453232525353232242243521454552111221512251134215422151135511141245435131454254153514524234315112445551155352111111545344241435145521335241141421251251551425125551151521131514115531135515155131112124212151451253511515114214351242143115154153523321115555411322341144541453214421553455411141515111125222332413414131125115415253111511251415553113121555355251411251155
NVS,4234422344444344524341544342415333335332333344433343434232452335251213334543434344212233334434222423425534233343332142224343333423344344444451354124233453312231443324443424433222533334424542333344452232241252343442434334534211442244322242353341354344342334334142442153434425342532333244343323334331423222324132443234333332222312442214423224333342433323323233333324332333142333434334443443434314434334
ORA.PA,4234315224245243353433444351234452314442434334333424343331334343433522331433344323342322433243542344322224344223433223434224223423123342334434424325335134242334243233243354442334243334323233343332324353443213234324431324444443331252444434233333343344424344344433332543343334333443323444444433332433433332234323345132333344233434214422333424224332234332344431232322234242343333344442344343324324433333
OXY,5422445534152451551344435252215432524152543334315113243124424433342141433345421243212255333123412234414244344213253225222414344245442233442452422213433542353114435235522431142415355443254242443222222454524135133343525434515111133423453334445231453131332221554332353235213324132122425324444434344522312242522133442144424224242343423322332433421234213453545113424243342231221343235331334214353311143234
PFE,5333422323235252514441543442244324324343333423432153342244432334452143134533442343223332444222322121435534133333433142424224424214434333533441534113223452333122434234533334332222444542333342443154451252431242554442533244415121241442212333443321344422422344343343243152224335341424223224433323234531524421434222432554243115322314222324223323244321535423223324323325323453331433333233422343232212315354
RIG,4325255415451551551442445454125333413453443334425121313333522554541244311455332525512355444151511244555314155514153445252514115245421323541515531212413553441112415125532311111215355554155142551122214255515145112454315222515151115215514252455142254251121121514111551125135152331121534415435552442222211152311142531155414152141154515411431333551242211452525113332155355142411331235121325224253411143135
RRC,5343145515442242451445144354542342142231443254315124123132512542331453422535233552122352254151411344215424455412252444422424343433342133432222421345314341342154412333124314144445543452135132433242333555553354134525513533515131144441224225445335531252415221254341352154423431223325454453533254345341212353412241324334535222254354521432345343331144122254334222534434335422411343224222534324454311223242
XYZ,5543142554114451413112225451421142255532223433442424454324411555333511113251141151134451444134313544354153132335345241342321244335331432553144251321343445555151341334445325343151321453453242545124414553544313253455513144415131154211125325455144131511425111233343122331215451431544532121355121353531441152151535332235145412552153432325342224353535352542234413425255435331431251435141455252454314152413
THC,3434442243553155252333343222151322414532334324432324311223232334551433224414135123515444343345311152342435342535311341524544344334155333454452342353551413343144423431444524433432551134244443442144454553144444554255514314115321152424445124155213243522121541444351323142525345253525424245512423233521214142432323314311232132242515542153113214255342521312142242425514534431331442325442344444353451232445
LOCK.L,3443142423422554221431344343322423432443233333434323233443334243345133123233522323232344424523424134234332442233343242443444323344253234424432243412332434333523322333253243334332333234233444433342323333345342434344445223453515111442122442243442432144142252132233342333444244341434343444224224334233241233233233343433234453331242434533323334322233333434434232333234242434523422224243343334344434354211
