Date,Prefix,Ticker,Number,Price,Act,Amount,Day,Day Buys,Day Sales,Day Aggr.,Buy Aggr.,Sale Aggr.
2/19/25,,MVEGLE,"5,000",(37.80),,,,,,,,
2/19/25,,MVEORA,"6,000",(10.87),,,,,,,,
2/19/25,,SAFAAPL,240,244.79 ,,,,,,,,
2/19/25,,EZJ,"10,000",595.09 ,,,,,,,,
2/19/25,,OXY,"1,000",51.86 ,,,,,,,,
2/20/25,,MVEALDNE,"7,942",(1.07),,,,,,,,
2/20/25,,NEE,"1,000",70.10 ,,,,,,,,
2/21/25,,AMZN,500,(215.45),,,,,,,,
2/21/25,,ASML,100,(706.60),,,,,,,,
2/21/25,,NEE,"1,000",71.24 ,,,,,,,,
2/21/25,,MVEALDNE,"12,058",(1.10),,,,,,,,
2/21/25,,MVEEOAN,"3,000",11.65 ,,,,,,,,
2/21/25,,ENI,"4,000",(13.98),,,,,,,,
2/24/25,,SAP,499,275.53 ,,,,,,,,
2/24/25,,MVESAP,499,275.65 ,,,,,,,,
2/24/25,,EOAN,"8,000",12.09 ,,,,,,,,
2/24/25,,ADEA,"2,990",16.67 ,,,,,,,,
2/24/25,,NEM,"2,000",(43.70),,,,,,,,
2/24/25,,TSLA,390,333.93 ,,,,,,,,
2/24/25,,AVGO,500,(207.77),,,,,,,,
2/25/25,,AVGO,240,(203.43),,,,,,,,
2/25/25,,MVEGLE,"5,000",38.69 ,,,,,,,,
2/25/25,,ASML,300,(690.90),,,,,,,,
2/25/25,,IAG,"30,000",302.60 ,,,,,,,,
2/25/25,,AMZN,800,(206.18),,,,,,,,
2/25/25,,MSFT,"2,000",(400.18),,,,,,,,
2/26/25,,AAPL,300,(240.34),,,,,,,,
2/26/25,,DDD,"15,000",(3.66),,,,,,,,
2/26/25,,HPE,"4,000",20.29 ,,,,,,,,
2/26/25,,RWE,"4,000",30.52 ,,,,,,,,
2/26/25,,MVEEOAN,"2,990",12.56 ,,,,,,,,
2/26/25,,ORA,"6,000",11.31 ,,,,,,,,
2/27/25,,JBEOAN,"5,000",12.49 ,,,,,,,,
2/27/25,,MVEORA,"6,000",11.42 ,,,,,,,,
2/27/25,,UN0,350,44.30 ,,,,,,,,
2/27/25,,IAG,"30,000",334.09 ,,,,,,,,
2/28/25,,ALDNE,"15,000",(1.20),,,,,,,,
2/28/25,,IAG,"10,000",351.43 ,,,,,,,,
2/28/25,,MVEALDNE,"20,000",(1.01),,,,,,,,
2/28/25,,SAFASML,150,(683.54),,,,,,,,
2/28/25,,CSCO,"1,000",64.33 ,,,,,,,,
3/3/25,,IAG,"20,000",344.03 ,,,,,,,,
3/3/25,,MSFT,200,(395.34),,,,,,,,
3/3/25,,NFLX,200,982.61 ,,,,,,,,
3/3/25,,POET,"7,000",(3.78),,,,,,,,
3/3/25,,MVEGLE,990,39.68 ,,,,,,,,
3/3/25,,ORA,"4,000",11.55 ,,,,,,,,
3/3/25,,NOTE,"20,000",(1.16),,,,,,,,
3/3/25,,TSM,200,(178.31),,,,,,,,
3/6/25,,AZN,800,(77.67),,,,,,,,
3/7/25,,HPE,"2,000",(15.76),,,,,,,,
3/10/25,,ASML,300,(632.80),,,,,,,,
3/10/25,,IAG,"20,000",(319.60),,,,,,,,
3/10/25,,MVEORA,"5,000",11.85 ,,,,,,,,
3/10/25,,VONN,"1,000",(61.50),,,,,,,,
3/10/25,,SAFAMZN,250,(193.49),,,,,,,,
3/14/25,,IAG,"20,000",287.70 ,,,,,,,,
3/14/25,,LUMN,"2,000",4.90 ,,,,,,,,
3/14/25,,NEE,"1,000",73.36 ,,,,,,,,
3/14/25,,UNIT,"18,000",(4.97),,,,,,,,
3/14/25,,NOTE,"15,000",(0.91),,,,,,,,
3/14/25,,TSM,450,(193.53),,,,,,,,
3/14/25,,GNRC,400,(130.04),,,,,,,,
3/14/25,,F,"10,000",9.68 ,,,,,,,,
3/17/25,,EOAN,"7,000",13.14 ,,,,,,,,
3/17/25,,SAFDDD,"25,000",(2.69),,,,,,,,
3/17/25,,OXY,"1,000",(47.24),,,,,,,,
3/18/25,,ALDNE,"15,000",-0.93,,,,,,,,
3/18/25,,DSY,"1,000",-38.78,,,,,,,,
3/19/25,,ASML,300,667.60 ,,,,,,,,
3/19/25,,VONN,"1,000",63.10 ,,,,,,,,
3/19/25,,IAG,"20,000",296.01 ,,,,,,,,
3/20/25,,SAP,"1,000",-250.8,,,,,,,,
3/20/25,,aet,"23,590",-40.4,,,,,,,,
3/21/25,,ORA,"2,000",11.85 ,,,,,,,,
3/21/25,,DSY,500,38.69 ,,,,,,,,
3/24/25,,AET,"19,410",-41.40427,,,,,,,,
3/24/25,,MVESAP,"1,000",-255.05,,,,,,,,
3/24/25,,SAP,"1,000",-255.19,,,,,,,,
3/25/25,,NEM,500,47.60 ,,,,,,,,
3/25/25,,HPE,500,16.55 ,,,,,,,,
3/26/25,,SAFASML,50,-661.5,,,,,,,,
3/27/25,,ASML,300,(647.30),,,,,,,,
3/28/25,,IAG,"20,000",-284.4779,,,,,,,,
3/28/25,,PAAS,"2,500",26.31,,,,,,,,
3/28/25,,LUV,"1,200",33.646525,,,,,,,,
3/28/25,,NOTE,"15,000",-0.89,,,,,,,,
3/28/25,,MSFT,150,-378.76,,,,,,,,
3/31/25,,EOAN,"7,000",13.94 ,,,,,,,,
3/31/25,,NOTE,"15,000",0.81 ,,,,,,,,
4/1/25,,AMZN,500,-192.82,,,,,,,,
4/1/25,,EOAN,"2,000",14.04,,,,,,,,
4/1/25,,IAG,"20,000",-267.01,,,,,,,,
4/1/25,,SHECY,"4,000",-14.1683,,,,,,,,
4/1/25,,ORA,"2,000",12.03,,,,,,,,
4/2/25,,DSY,"2,000",(35.44),,,,,,,,
4/2/25,,MVEORA,"5,000",12.01 ,,,,,,,,
4/8/25,,VONN,"6,000",-56.89,,,,,,,,
4/10/25,,VONN,"4,000",(55.70),,,,,,,,
4/12/25,,NOTE,"15,000",-0.73,,,,,,,,
4/15/25,,NOTE,"50,000",-0.6202,,,,,,,,
4/15/25,,TSM,"1,350",-157.45,,,,,,,,
4/23/25,,VONN,"4,000",58.63,,,,,,,,
4/23/25,,MVEGLE,"3,000",42.22,,,,,,,,
4/23/25,,MVEORA,"5,000",12.62,,,,,,,,
4/23/25,,JBEOAN,"5,000",14.97,,,,,,,,
4/24/25,,MVEENI,"8,000",-12.6593,,,,,,,,
4/24/25,,IAG,"20,000",261.5,,,,,,,,
4/21/25,,AMZN,200,-173.55,,,,,,,,
4/17/25,,AAPL,500,-197.42,,,,,,,,
4/2/25,,ASML,200,(603.80),,,,,,,,
5/2/25,,MVERWE,"3,000",-33.095,,,,,,,,
5/2/25,,NEM,"2,000",-51.829875,,,,,,,,
5/2/25,,CSCO,"1,990",-58.935,,,,,,,,
5/2/25,,SAFAAPL,500,-204.94932,,,,,,,,
4/17/25,,C,500,-62.75,,,,,,,,
4/17/25,,MSFT,150,-378.43,,,,,,,,
4/17/25,,TSM,"1,000",-152.32,,,,,,,,
4/17/25,,VONN,"4,000",-55.8,,,,,,,,
4/4/25,,MVEDSY,"2,000",-35.44,,,,,,,,
4/22/25,,MVEGLE,"5,000",-39.59,,,,,,,,
4/22/25,,MVEGLE,"5,000",-39.59,,,,,,,,
5/5/25,,MVEENI,"2,000",-12.59,,,,,,,,
5/5/25,,NFLX,200,1133.76,,,,,,,,
5/7/25,,SAFASML,66,606.66,,,,,,,,
5/8/25,,IAG,"20,000",2.85,,,,,,,,
5/8/25,,RWE,"1,250",32.66025,,,,,,,,
5/8/25,,SAP,500,265.65,,,,,,,,
5/8/25,,MVESAP,500,265.65,,,,,,,,
5/8/25,,MVEGLE,"1,000",45.76,,,,,,,,
5/8/25,,MVEORA,"3,000",12.665,,,,,,,,
5/8/25,,EOAN,"1,250",15.64,,,,,,,,
5/8/25,,VONN,"2,000",62.09,,,,,,,,
5/8/25,,JBEOAN,"2,000",15.9,,,,,,,,
5/8/25,,SAP,500,-262.9,,,,,,,,
5/8/25,,MVESAP,500,-262.88,,,,,,,,
5/9/25,,note,"11,855",-0.66,,,,,,,,
5/12/25,,NEM,"2,000",-50.63,,,,,,,,
5/12/25,,PAAS,"3,000",-22.96,,,,,,,,
5/12/25,,MVEGLE,"1,000",47.47,,,,,,,,
5/13/25,,eoan,"1,250",-14.7,,,,,,,,
5/13/25,,JBEOAN,"2,000",-14.73,,,,,,,,
5/13/25,,DDD,"20,000",-1.91,,,,,,,,
5/13/25,,SAFDDD,"21,000",-1.929,,,,,,,,
5/13/25,,NEM,"1,000",-49.98,,,,,,,,
5/15/25,,VONN,"2,000",63.3,,,,,,,,
5/15/25,,HPQ,"1,000",28.83,,,,,,,,
5/16/25,,ezj,"18,000",544.20 ,,,,,,,,
5/20//25,,aapl,"1,000",-206.73,,,,,,,,
5/20//25,,AMZN,"1,000",-204.0975,,,,,,,,
5/20//25,,IAG,"10,000",335.85,,,,,,,,
5/19/25,,WBA,"4,000",11.25 ,,,,,,,,
5/19/25,,NEE,"1,000",73.82 ,,,,,,,,
5/19/25,,RWE,"1,500",32.24 ,,,,,,,,
5/19/25,,SAP,500,263.88 ,,,,,,,,
5/19/25,,MVESAP,500,263.80 ,,,,,,,,
5/19/25,,C,400,76.11 ,,,,,,,,
5/19/25,,HPQ,"1,000",29.10 ,,,,,,,,
5/19/25,,CVS,750,62.74 ,,,,,,,,
5/19/25,,WBA,"4,000",11.25 ,,,,,,,,
5/19/25,,NEE,"1,000",73.82 ,,,,,,,,
5/19/25,,RWE,"1,500",32.24 ,,,,,,,,
5/19/25,,SAP,500,263.88 ,,,,,,,,
5/19/25,,MVESAP,500,263.80 ,,,,,,,,
5/19/25,,C,400,76.11 ,,,,,,,,
5/19/25,,HPQ,"1,000",29.10 ,,,,,,,,
5/19/25,,CVS,750,62.74 ,,,,,,,,
5/22/25,,MVEORA,"3,000",13.3,,,,,,,,
5/23/25,,JBEOAN,"3,000",15.55 ,,,,,,,,
5/23/25,,THC,650,160.91 ,,,,,,,,
5/23/25,,AVGO,200,229.82 ,,,,,,,,
5/23/25,,ENI,"10,000",(12.82),,,,,,,,
5/23/25,,RWE,"4,000",(32.12),,,,,,,,
5/23/25,,IAG,"10,000",(317.01),,,,,,,,
5/23/25,,NEE,"1,000",(66.36),,,,,,,,
5/23/25,,VTRS,"5,000",(8.23),,,,,,,,
5/23/25,,eoan,"3,000",15.74 ,,,,,,,,
5/27/25,,IAG,"40,000",333.9,,,,,,,,
5/29/25,,PAAS,"1,000",-24.42,,,,,,,,
